t_s,mem_available_kb,mem_total_kb,matching_rss_kb,n_matching,detail
1339.5,6148716,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
1344.6,6148716,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
1349.6,6148976,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
1354.6,6148224,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
1359.6,6147468,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
1364.6,6147468,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
1369.7,6147468,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
1374.7,6145704,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
1379.9,6145704,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
1385.0,6143940,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
1390.0,6143940,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
1395.0,6143940,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
1400.1,6143940,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
1405.1,6143940,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
1410.1,6143940,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
1415.1,6143940,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
1420.1,6143940,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
1425.1,6143940,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
1430.2,6145084,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
1435.2,6144396,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
1440.2,6144396,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
1445.2,6144144,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
1450.2,6143548,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
1455.2,6143548,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
1460.2,6144964,8216168,1480888,3,"6459:10740kB;6462:474268kB;6463:995880kB"
1465.3,6144964,8216168,1480892,3,"6459:10744kB;6462:474268kB;6463:995880kB"
1470.3,6145268,8216168,1480892,3,"6459:10744kB;6462:474268kB;6463:995880kB"
1475.3,6144164,8216168,1480892,3,"6459:10744kB;6462:474268kB;6463:995880kB"
